2x6x8',14,13,2023-8,206019463,/2-in-x-6-in-x-8-ft-2-and-Better-Prime-Douglas-Fir-Lumber-2023-8/206019463,$7.12 ,$99.68 
2x6x10',11,14,HCF-KDDF-PRIME-2x6x10,206804069,/2-in-x-6-in-x-10-ft-2-and-Better-Prime-Douglas-Fir-Board-HCF-KDDF-PRIME-2x6x10/206804069,$8.92 ,$98.12 
2x6x12',25,15,HCF-KDDF-PRIME-2x6x12,206804070,/2-in-x-6-in-x-12-ft-2-and-Better-Prime-Douglas-Fir-Board-HCF-KDDF-PRIME-2x6x12/206804070,$10.72 ,$268.00 
4x6x8,1,72,328923,202083085,/4-in-x-6-in-x-8-ft-FSC-Green-Douglas-Fir-Lumber-328923/202083085,$23.92 ,$23.92 
4x6x12,2,,441619,202094372,/4-in-x-6-in-x-12-ft-Premium-2-and-Better-Douglas-Fir-Lumber-441619/202094372,$34.76 ,$69.52 
1/2'' Plywwod Shear,15,,454532,203414055,/12mm-Sande-Plywood-1-2-in-Category-x-4-ft-x-8-ft-Actual-0-472-in-x-48-in-x-96-in-454532/203414055,$47.35 ,$710.25 
Horrizontal Lap Siding,65,,215518,100064049,/James-Hardie-HardiePlank-HZ10-5-16-in-x-8-25-in-x-144-in-Fiber-Cement-Primed-Cedarmill-Lap-Siding-215518/100064049,$11.92 ,$774.80 
Tyvek Housewrap Roll,1,,3234A-909,203897518,/Typar-9-ft-x-100-ft-Housewrap-Roll-3234A-909/203897518,$229.70 ,$229.70 
Wall Insulation,10,,RF40,202585898,/Owens-Corning-R-19-PINK-Kraft-Faced-Fiberglass-Insulation-Continuous-Roll-15-in-x-39-2-ft-RF40/202585898,$34.98 ,$349.80 
Ceiling Insulation,5,,RF40,202585898,/Owens-Corning-R-19-PINK-Kraft-Faced-Fiberglass-Insulation-Continuous-Roll-15-in-x-39-2-ft-RF40/202585898,$34.98 ,$174.90 
Wall Drywall 1/2'',16,,50000103,202809177,/Gold-Bond-High-Strength-Lite-1-2-in-x-4-ft-x-8-ft-Lightweight-Drywall-Sheet-50000103/202809177,$10.14 ,$162.24 
Ceiling Drywall 5/8'',7,,14211011308,100321591,/USG-Sheetrock-Brand-5-8-in-x-4-ft-x-8-ft-Firecode-X-Drywall-14211011308/100321591,$13.24 ,$92.68 
Texture,2,,18040H,100320402,/Westpac-Materials-3-5-Gal-Red-Dot-All-Purpose-Pre-Mixed-Joint-Compound-18040H/100320402,$10.28 ,$20.56 
Texture Tape,1,,382175,100321613,/USG-Sheetrock-Brand-2-1-16-in-x-250-ft-Paper-Drywall-Joint-Tape-382175/100321613,$2.27 ,$2.27 
Composite Shingles,9,,489180,309755006,/GAF-Timberline-HDZ-Charcoal-Algae-Resistant-Laminated-High-Definition-Shingles-33-33-sq-ft-per-Bundle-21-Pieces-0489180/309755006,$32.50 ,$292.50 
5/8'' Ply,9,,8.11E+15,309026359,/Common-19-32-in-x-4-ft-x-8-ft-Actual-0-578-in-x-47-75-in-x-95-75-in-Oriented-Strand-Board-8107410000000000/309026359,$40.27 ,$362.43 
2x8x16,15,,915556,206182011,/2-in-x-8-in-x-16-ft-2-and-Better-Prime-Douglas-Fir-Board-915556/206182011,$16.12 ,$241.80 
2x8x20' ,2,,185442,202094170,/2-in-x-8-in-x-20-ft-Premium-2-and-Better-Douglas-Fir-Lumber-185442/202094170,$20.16 ,$40.32 
Roofing weather shield,1,,15-LB-ASTM-226-TYPE-I,202564196,/15-432-sq-ft-ASTM-D226-Felt-Underlayment-15-LB-ASTM-226-TYPE-I/202564196,$27.28 ,$27.28 
metal flashing,7,,RE23BR,202334920,/Gibraltar-Building-Products-2-in-x-3-in-x-10-ft-Steel-Drip-Edge-Flashing-in-Brown-RE23BR/202334920,$9.78 ,$68.46 
5/16 in. x 3-11/16 in. x 8 ft. Knotty Pine Edge V-Plank Kit (3-Pack per Box),2,,8203110,206177481,/Hakwood-5-16-in-x-3-11-16-in-x-8-ft-Knotty-Pine-Edge-V-Plank-Kit-3-Pack-per-Box-8203110/206177481,$76.99 ,$153.98 
Front Door,1,,A07314,202036416,/JELD-WEN-36-in-x-80-in-9-Lite-Primed-Steel-Prehung-Left-Hand-Inswing-Back-Door-with-Brickmould-A07314/202036416,$410.91 ,$410.91 
4020 Awning Window,2,,THDJW143300113,206454589,/JELD-WEN-48-in-x-24-in-W-2500-Series-White-Painted-Clad-Wood-Awning-Window-w-Natural-Interior-and-Screen-THDJW143300113/206454589,$519.16 ,"$1,038.32 "
2650 Casement Window,2,,VC3060-L,203426840,/TAFCO-WINDOWS-30-in-x-60-in-Left-Hand-Vinyl-Casement-Window-with-Screen-White-VC3060-L/203426840,$316.37 ,$632.74 
6036 Sliding Window,1,,THDJW140400121,205818218,/JELD-WEN-59-5-in-x-35-5-in-V-4500-Series-White-Vinyl-Right-Handed-Sliding-Window-with-Fiberglass-Mesh-Screen-THDJW140400121/205818218,$484.10 ,$484.10 
